DATE,ACTLISCOUCA,MEDLISPRIPERSQUFEECA,NEWLISCOUCA,PRIINCCOUCA,PRIREDCOUCA,AVELISPRICA,MEDDAYONMARCA
1/1/17,62683,257.59375,31580,1616,10932,951567.2542,68
2/1/17,62228,262.2832031,33664,1860,11912,982762.9121,53.5
3/1/17,63371,271.53125,39064,1864,13128,1012829.319,44
4/1/17,66298,276,45168,1608,13852,1021690.066,38
5/1/17,71260,281.140625,44908,1916,16328,1034568.987,37
6/1/17,74720,285.25,44756,1704,18084,1032705.93,38.5
7/1/17,77930,284.25,40612,1724,19496,1015554.833,41
8/1/17,77548,279,40984,1908,20416,995607.2935,43
9/1/17,76714,278.5,38192,1708,19524,1002097.332,45
10/1/17,74980,276.15625,35660,1592,18280,1005469.561,46
11/1/17,70385,272.4375,31484,1504,15756,1010127.258,48
12/1/17,61173,266.125,21560,1284,9244,1017721.816,57
1/1/18,56911,267.0625,32764,1356,11208,1010101.562,56.5
2/1/18,59867,272.890625,37620,1480,12624,1025828.005,37.5
3/1/18,63023,283.34375,40232,1676,14492,1044502.778,37
4/1/18,68281,289.4375,45892,1808,16648,1050539.915,37
5/1/18,74547,292.3125,47804,1840,19484,1054752.383,35
6/1/18,80281,296.4375,46840,1888,22216,1046299.2,37
7/1/18,85768,297.8125,45144,1852,25952,1024018.693,39
8/1/18,89563,296.96875,44176,1840,27760,991821.4441,41.5
9/1/18,93535,297.5625,42552,1780,29552,984186.1368,44
10/1/18,94867,297.9375,40632,1620,30760,981248.8529,45
11/1/18,93402,297.40625,34780,1632,25804,984827.5127,49
12/1/18,82168,290.9375,23588,1132,14792,970134.5979,59
1/1/19,75995,290.6906864,37020,1336,17272,974712.8391,64
2/1/19,76435,297.40625,34828,1480,17192,999532.8051,48.5
3/1/19,77411,305,39576,1648,20144,1041546.39,47
4/1/19,78809,310.6875,45740,1632,22440,1068761.573,42.5
5/1/19,85102,311.6875,47472,1876,26132,1084357.053,40.5
6/1/19,87168,313.9375,44056,1812,28632,1095004.304,43
7/1/19,89704,312.1875,42364,1716,30272,1097785.176,48
8/1/19,90469,314.0446429,41272,1696,29892,1125106.616,49
9/1/19,91031,316.3883929,42276,1676,30208,1162311.031,52
10/1/19,86883,315.625,35524,1572,26192,1169056.798,53
11/1/19,79302,312,29084,1436,20564,1190765.71,59
12/1/19,65824,302.6460041,18272,1232,10172,1221111.52,69
1/1/20,58915,300.84375,30504,1376,12000,1284278.195,72
2/1/20,58665,314.0625,33060,1836,12224,1314100.273,55
3/1/20,59655,326.859375,32748,1532,12536,1296756.821,44
4/1/20,62282,321.3203125,23692,1416,10548,1218316.546,51
5/1/20,65249,338.25,33428,1388,14632,1253754.636,59
6/1/20,61454,362.5625,34704,1768,14340,1345918.574,51
7/1/20,56351,382.6328125,35484,1868,13356,1419971.191,48.5
8/1/20,52788,402.625,36700,2116,12404,1480451.275,44
9/1/20,52810,409.8198811,39720,1936,12504,1497087.587,42
10/1/20,54623,417.3125,38704,1836,12980,1526038.793,40
11/1/20,51254,420.65625,29708,1532,10544,1536489.149,47
12/1/20,43302,420.890625,22380,1436,6632,1596134.449,56